Papel;Cotação;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Líq.;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Líq;Dív.Brut/ Patrim.;Cresc. Rec.5a
ENMT3;52.0;13.07;2.9;1.268;5,96%;0.74;6.61;6.07;-1.45;10.19;8.46;20,88%;9,70%;1.91;13,58%;22,16%;20020.2;3932600000.0;2.2;5,65%
ENMT4;52.0;13.07;2.9;1.268;5,96%;0.74;6.61;6.07;-1.45;10.19;8.46;20,88%;9,70%;1.91;13,58%;22,16%;1112.02;3932600000.0;2.2;5,65%
CAML3;6.14;13.09;0.62;0.185;4,78%;0.174;0.7;3.63;-1.21;10.66;7.26;5,10%;1,41%;1.77;6,91%;4,76%;8454720.0;3448190000.0;1.94;8,18%
SFSA4;4.4;13.1;0.82;0.0;0,00%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;6,25%;0.0;739524000.0;0.0;0,15%
CALI4;50.0;13.14;1.89;0.956;0,00%;0.433;0.87;9.16;14.38;12.95;12.17;10,43%;12,55%;3.78;6,39%;14,39%;0.0;184775000.0;1.64;28,87%
GETI3;14.45;13.19;3.44;1.916;0,00%;1.314;-15.63;6.98;-3.19;8.2;6.76;27,43%;14,52%;0.71;22,70%;26,09%;0.0;1601130000.0;0.86;13,39%
GETI4;14.46;13.2;3.44;1.917;0,00%;1.315;-15.64;6.99;-3.2;8.2;6.76;27,43%;14,52%;0.71;22,70%;26,09%;0.0;1601130000.0;0.86;13,39%
ZAMP3;3.5;13.29;0.95;0.272;0,00%;0.302;-8.05;7.6;-0.71;11.19;2.91;3,58%;2,05%;0.87;5,15%;7,14%;0.0;1500620000.0;0.84;16,27%
ANIM3;4.08;13.31;0.72;0.41;1,31%;0.162;1.16;1.37;-0.35;4.7;3.47;29,82%;6,38%;2.22;14,51%;5,38%;39932700.0;2300470000.0;2.48;9,41%
ALPA4;11.13;13.37;2.29;1.665;16,13%;1.247;7.42;10.13;-122.65;11.03;8.19;16,45%;12,44%;1.61;14,72%;17,11%;32919100.0;3323900000.0;0.37;2,76%
EQPA7;10.0;13.4;4.35;1.856;6,59%;0.998;7.24;7.86;-2.84;9.46;7.96;23,60%;13,85%;1.49;18,42%;32,49%;590.05;5073530000.0;1.96;12,26%
RGEG3;3.0;13.42;1.6;0.77;0,00%;0.609;-98.28;6.23;-1.76;10.04;11.7;12,36%;5,74%;0.98;11,69%;11,90%;0.0;1915180000.0;1.15;10,09%
REDE3;6.31;13.47;2.62;0.836;4,76%;0.493;5.33;4.02;-0.91;8.05;6.45;20,77%;8,65%;1.56;14,12%;19,44%;15403.1;6189210000.0;3.08;6,20%
BMOB3;23.31;13.59;1.76;1.221;11,33%;1.154;2.91;14.14;3.27;10.91;7.31;8,64%;9,20%;2.34;12,48%;12,93%;10104900.0;1135950000.0;0.02;40,73%
